sensor_id,value,measurement_timestamp,id,Datum,Uhrzeit,Ort,Temperatur (°C),Wetterlage
5faeb5589b2df8001b980309,1.8,2025-06-04T10:55:28.447000Z,161843.0,,,,,
5faeb5589b2df8001b980309,3.7,2025-06-04T10:53:00.743000Z,161825.0,,,,,
5faeb5589b2df8001b980309,3.7,2025-06-04T10:53:00.743000Z,161844.0,,,,,
5faeb5589b2df8001b980309,3.28,2025-06-04T10:50:28.852000Z,161823.0,,,,,
5faeb5589b2df8001b980309,3.28,2025-06-04T10:50:28.852000Z,161826.0,,,,,
5faeb5589b2df8001b980309,1.75,2025-06-04T10:48:01.106000Z,161809.0,,,,,
5faeb5589b2df8001b980309,1.75,2025-06-04T10:48:01.106000Z,161824.0,,,,,
5faeb5589b2df8001b980309,6.68,2025-06-04T10:45:28.913000Z,161810.0,,,,,
5faeb5589b2df8001b980309,1.95,2025-06-04T10:42:55.311000Z,161798.0,,,,,
5faeb5589b2df8001b980309,1.95,2025-06-04T10:42:55.311000Z,161811.0,,,,,
5faeb5589b2df8001b980309,4.03,2025-06-04T10:40:19.907000Z,161788.0,,,,,
5faeb5589b2df8001b980309,4.03,2025-06-04T10:40:19.907000Z,161799.0,,,,,
5faeb5589b2df8001b980309,1.17,2025-06-04T10:37:52.173000Z,161778.0,,,,,
5faeb5589b2df8001b980309,1.17,2025-06-04T10:37:52.173000Z,161789.0,,,,,
5faeb5589b2df8001b980309,4.57,2025-06-04T10:35:20.255000Z,161763.0,,,,,
5faeb5589b2df8001b980309,4.57,2025-06-04T10:35:20.255000Z,161779.0,,,,,
5faeb5589b2df8001b980309,2.9,2025-06-04T10:32:52.487000Z,161754.0,,,,,
5faeb5589b2df8001b980309,2.9,2025-06-04T10:32:52.487000Z,161765.0,,,,,
5faeb5589b2df8001b980309,4.7,2025-06-04T10:30:20.468000Z,161755.0,,,,,
5faeb5589b2df8001b980309,3.1,2025-06-04T10:27:48.668000Z,161743.0,,,,,
5faeb5589b2df8001b980309,3.1,2025-06-04T10:27:48.668000Z,161756.0,,,,,
5faeb5589b2df8001b980309,3.3,2025-06-04T10:25:14.864000Z,161731.0,,,,,
5faeb5589b2df8001b980309,3.3,2025-06-04T10:25:14.864000Z,161744.0,,,,,
5faeb5589b2df8001b980309,2.85,2025-06-04T10:22:42.425000Z,161720.0,,,,,
5faeb5589b2df8001b980309,2.85,2025-06-04T10:22:42.425000Z,161732.0,,,,,
5faeb5589b2df8001b980309,2.28,2025-06-04T10:20:10.541000Z,161711.0,,,,,
5faeb5589b2df8001b980309,2.28,2025-06-04T10:20:10.541000Z,161722.0,,,,,
5faeb5589b2df8001b980309,2.55,2025-06-04T10:17:42.803000Z,161699.0,,,,,
5faeb5589b2df8001b980309,2.55,2025-06-04T10:17:42.803000Z,161712.0,,,,,
5faeb5589b2df8001b980309,4.85,2025-06-04T10:15:10.837000Z,161700.0,,,,,
5faeb5589b2df8001b980309,5.53,2025-06-04T10:12:38.418000Z,161686.0,,,,,
5faeb5589b2df8001b980309,5.53,2025-06-04T10:12:38.418000Z,161701.0,,,,,
5faeb5589b2df8001b980309,5.5,2025-06-04T10:10:06.516000Z,150864.0,,,,,
5faeb5589b2df8001b980309,5.5,2025-06-04T10:10:06.516000Z,154183.0,,,,,
5faeb5589b2df8001b980309,5.5,2025-06-04T10:10:06.516000Z,154757.0,,,,,
5faeb5589b2df8001b980309,5.5,2025-06-04T10:10:06.516000Z,160527.0,,,,,
5faeb5589b2df8001b980309,5.5,2025-06-04T10:10:06.516000Z,161687.0,,,,,
5faeb5589b2df8001b980309,6.72,2025-06-04T10:07:38.851000Z,151294.0,,,,,
5faeb5589b2df8001b980309,6.72,2025-06-04T10:07:38.851000Z,154184.0,,,,,
5faeb5589b2df8001b980309,6.72,2025-06-04T10:07:38.851000Z,154758.0,,,,,
5faeb5589b2df8001b980309,6.72,2025-06-04T10:07:38.851000Z,160528.0,,,,,
5faeb5589b2df8001b980309,6.78,2025-06-04T10:05:06.939000Z,151295.0,,,,,
5faeb5589b2df8001b980309,6.78,2025-06-04T10:05:06.939000Z,154185.0,,,,,
5faeb5589b2df8001b980309,6.78,2025-06-04T10:05:06.939000Z,154759.0,,,,,
5faeb5589b2df8001b980309,6.78,2025-06-04T10:05:06.939000Z,160529.0,,,,,
5faeb5589b2df8001b980309,5.6,2025-06-04T10:02:38.860000Z,151296.0,,,,,
5faeb5589b2df8001b980309,5.6,2025-06-04T10:02:38.860000Z,154186.0,,,,,
5faeb5589b2df8001b980309,5.6,2025-06-04T10:02:38.860000Z,154760.0,,,,,
5faeb5589b2df8001b980309,5.6,2025-06-04T10:02:38.860000Z,160530.0,,,,,
5faeb5589b2df8001b980309,5.85,2025-06-04T10:00:06.800000Z,151297.0,,,,,
5faeb5589b2df8001b980309,5.85,2025-06-04T10:00:06.800000Z,154187.0,,,,,
5faeb5589b2df8001b980309,5.85,2025-06-04T10:00:06.800000Z,154761.0,,,,,
5faeb5589b2df8001b980309,5.85,2025-06-04T10:00:06.800000Z,160531.0,,,,,
5faeb5589b2df8001b980309,6.7,2025-06-04T09:57:33.418000Z,151298.0,,,,,
5faeb5589b2df8001b980309,6.7,2025-06-04T09:57:33.418000Z,154188.0,,,,,
5faeb5589b2df8001b980309,6.7,2025-06-04T09:57:33.418000Z,154762.0,,,,,
5faeb5589b2df8001b980309,6.7,2025-06-04T09:57:33.418000Z,160532.0,,,,,
5faeb5589b2df8001b980309,2.1,2025-06-04T09:55:01.475000Z,151299.0,,,,,
5faeb5589b2df8001b980309,2.1,2025-06-04T09:55:01.475000Z,154189.0,,,,,
5faeb5589b2df8001b980309,2.1,2025-06-04T09:55:01.475000Z,154763.0,,,,,
5faeb5589b2df8001b980309,2.1,2025-06-04T09:55:01.475000Z,160533.0,,,,,
5faeb5589b2df8001b980309,4.82,2025-06-04T09:52:33.280000Z,151300.0,,,,,
5faeb5589b2df8001b980309,4.82,2025-06-04T09:52:33.280000Z,154190.0,,,,,
5faeb5589b2df8001b980309,4.82,2025-06-04T09:52:33.280000Z,154764.0,,,,,
5faeb5589b2df8001b980309,4.82,2025-06-04T09:52:33.280000Z,160534.0,,,,,
5faeb5589b2df8001b980309,2.35,2025-06-04T09:50:00.954000Z,151301.0,,,,,
5faeb5589b2df8001b980309,2.35,2025-06-04T09:50:00.954000Z,154191.0,,,,,
5faeb5589b2df8001b980309,2.35,2025-06-04T09:50:00.954000Z,154765.0,,,,,
5faeb5589b2df8001b980309,2.35,2025-06-04T09:50:00.954000Z,160535.0,,,,,
5faeb5589b2df8001b980309,2.97,2025-06-04T09:47:32.973000Z,151302.0,,,,,
5faeb5589b2df8001b980309,2.97,2025-06-04T09:47:32.973000Z,154192.0,,,,,
5faeb5589b2df8001b980309,2.97,2025-06-04T09:47:32.973000Z,154766.0,,,,,
5faeb5589b2df8001b980309,2.97,2025-06-04T09:47:32.973000Z,160536.0,,,,,
5faeb5589b2df8001b980309,2.67,2025-06-04T09:45:00.735000Z,151303.0,,,,,
5faeb5589b2df8001b980309,2.67,2025-06-04T09:45:00.735000Z,154193.0,,,,,
5faeb5589b2df8001b980309,2.67,2025-06-04T09:45:00.735000Z,154767.0,,,,,
5faeb5589b2df8001b980309,2.67,2025-06-04T09:45:00.735000Z,160537.0,,,,,
5faeb5589b2df8001b980309,0.75,2025-06-04T09:42:28.799000Z,151304.0,,,,,
5faeb5589b2df8001b980309,0.75,2025-06-04T09:42:28.799000Z,154194.0,,,,,
5faeb5589b2df8001b980309,0.75,2025-06-04T09:42:28.799000Z,154768.0,,,,,
